order_id,customer_id,order_date,status,region_code
O0001,C0125,2025-03-22 19:06:24,SHIPPED,WEST
O0002,C0138,2026-07-03 02:16:58,CANCELLED,SOUTH
O0003,C0223,2025-08-16 10:58:18,DELIVERED,WEST
O0004,C0185,2024-08-11 06:19:48,SHIPPED,WEST
O0005,C0101,2026-04-04 01:11:46,SHIPPED,EAST
O0006,UNKNOWN,2025-02-01 12:12:03,RETURNED,WEST
O0007,C0169,2024-10-11 02:27:52,CANCELLED,SOUTH
O0008,C0309,2025-12-09 06:48:58,SHIPPED,WEST
O0009,C0494,2026-03-26 22:33:18,DELIVERED,EAST
O0010,C0325,2024-09-28 16:46:06,RETURNED,SOUTH
O0011,C0144,2026-06-15 12:39:34,CANCELLED,EAST
O0012,C0289,2025-07-18 06:36:33,RETURNED,SOUTH
O0013,C0282,2025-04-19 09:55:30,CANCELLED,SOUTH
O0014,C0150,2026-05-19 10:35:27,PLACED,WEST
O0015,C0072,2025-02-16 17:10:30,SHIPPED,EAST
O0016,C0367,2026-06-27 00:17:16,CANCELLED,NORTH
O0017,C0307,2025-12-16 03:46:37,CANCELLED,WEST
O0018,C0405,2026-05-30 20:16:45,RETURNED,NORTH
O0019,C0128,2025-08-03 16:05:04,DELIVERED,SOUTH
O0020,C0023,2024-12-28 00:19:32,CANCELLED,EAST
O0021,C0221,2026-01-23 09:03:25,PLACED,EAST
O0022,C0383,2026-05-03 16:22:13,RETURNED,SOUTH
O0023,C0201,2025-01-02 05:00:41,RETURNED,SOUTH
O0024,C0013,2024-12-30 06:40:25,DELIVERED,WEST
O0025,C0044,2025-02-02 13:24:29,SHIPPED,EAST
O0026,C0234,2025-10-30 00:48:42,RETURNED,WEST
O0027,C0050,2024-11-26 02:42:25,CANCELLED,EAST
O0028,C0023,2024-10-21 02:17:35,PLACED,NORTH
O0029,C0332,2026-06-07 08:09:51,SHIPPED,SOUTH
O0030,C0283,2025-12-10 19:52:53,RETURNED,WEST
O0031,C0119,2025-12-01 18:42:00,SHIPPED,SOUTH
O0032,C0222,2025-10-26 13:11:15,RETURNED,SOUTH
O0033,C0220,2026-02-13 10:13:49,SHIPPED,SOUTH
O0034,C0361,2025-09-03 16:43:45,PLACED,NORTH
O0035,C0275,2024-09-04 00:48:16,DELIVERED,SOUTH
O0036,C0135,2025-07-22 11:10:51,CANCELLED,EAST
O0037,C0313,2025-10-31 13:06:43,PLACED,EAST
O0038,C0235,2025-07-29 19:20:34,DELIVERED,NORTH
O0039,C0161,2026-07-24 22:44:58,DELIVERED,NORTH
O0040,C0356,2026-05-21 09:38:14,CANCELLED,WEST
O0041,C0295,2026-04-30 18:42:21,SHIPPED,WEST
O0042,C0356,2025-07-28 16:25:53,SHIPPED,SOUTH
O0043,C0072,2026-07-24 05:48:10,CANCELLED,NORTH
O0044,C0488,2026-06-04 06:51:35,SHIPPED,SOUTH
O0045,C0494,2025-02-24 21:22:03,CANCELLED,WEST
O0046,C0213,2025-01-13 09:29:30,CANCELLED,WEST
O0047,C0290,2025-09-29 09:41:06,SHIPPED,EAST
O0048,UNKNOWN,2024-09-12 17:10:03,DELIVERED,SOUTH
O0049,C0290,2026-03-11 00:17:03,CANCELLED,NORTH
O0050,C0138,2025-07-19 13:32:44,DELIVERED,NORTH
O0051,C0226,2025-09-03 04:21:06,CANCELLED,NORTH
O0052,C0335,2025-08-06 05:01:19,DELIVERED,NORTH
O0053,C0179,2025-05-18 18:19:25,PLACED,WEST
O0054,C0061,2025-12-18 12:25:38,SHIPPED,SOUTH
O0055,C0302,2024-12-09 20:23:01,RETURNED,WEST
O0056,C0072,2026-07-18 11:31:23,SHIPPED,NORTH
O0057,C0273,2025-12-27 05:09:22,RETURNED,SOUTH
O0058,C0361,2025-07-06 05:36:16,RETURNED,EAST
O0059,C0264,2025-12-20 14:46:34,PLACED,SOUTH
O0060,C0403,2024-08-12 19:05:23,PLACED,EAST
O0061,C0065,2025-01-05 02:40:38,SHIPPED,SOUTH
O0062,C0165,2025-10-02 13:49:29,CANCELLED,WEST
O0063,C0324,2025-03-29 21:15:32,CANCELLED,WEST
O0064,C0325,2025-10-25 18:47:57,PLACED,WEST
O0065,C0143,2025-02-09 20:49:01,DELIVERED,WEST
O0066,C0168,2025-09-08 21:01:04,PLACED,WEST
