product_id,product_name,category,subcategory,cost_price
P0001,Monitor Morning,Electronics,Monitor,1398.61
P0002,Keyboard Action,Electronics,Keyboard,3284.2
P0003,Headphones Recognize,Electronics,Headphones,4310.78
P0004,Monitor Edge,Electronics,Monitor,3171.32
P0005,Monitor Thus,Electronics,Monitor,275.91
P0006,Laptop Sure,Electronics,Laptop,3453.56
P0007,Headphones Positive,Electronics,Headphones,3759.16
P0008,Monitor Return,Electronics,Monitor,3825.81
P0009,Laptop Company,Electronics,Laptop,3500.61
P0010,Laptop Sometimes,Electronics,Laptop,4001.1
P0011,Headphones My,Electronics,Headphones,2210.37
P0012,Phone Challenge,Electronics,Phone,2873.05
P0013,Phone Like,Electronics,Phone,486.94
P0014,Monitor Collection,Electronics,Monitor,1280.07
P0015,Keyboard Country,Electronics,Keyboard,2359.63
P0016,Headphones Others,Electronics,Headphones,3367.52
P0017,Monitor Others,Electronics,Monitor,3420.29
P0018,Phone Receive,Electronics,Phone,4731.65
P0019,Keyboard Turn,Electronics,Keyboard,4813.94
P0020,Headphones Child,Electronics,Headphones,1580.4
P0021,Monitor Simply,Electronics,Monitor,622.6
P0022,Monitor Sign,Electronics,Monitor,2916.58
P0023,Headphones Member,Electronics,Headphones,4167.18
P0024,Monitor Wrong,Electronics,Monitor,2873.05
P0025,Laptop Her,Electronics,Laptop,3751.34
P0026,Headphones Amount,Electronics,Headphones,1227.58
P0027,Headphones Discuss,Electronics,Headphones,1031.65
P0028,Headphones Sort,Electronics,Headphones,3632.55
P0029,Phone Method,Electronics,Phone,4526.68
P0030,Laptop Each,Electronics,Laptop,2260.03
P0031,Keyboard At,Electronics,Keyboard,743.92
P0032,Headphones Everything,Electronics,Headphones,2135.97
P0033,Phone Hope,Electronics,Phone,2743.1
P0034,Headphones East,Electronics,Headphones,4576.09
P0035,Phone And,Electronics,Phone,4140.98
P0036,Monitor Relate,Electronics,Monitor,1546.19
P0037,Headphones Design,Electronics,Headphones,2394.82
