item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O0078,P0026,2,6791.04,1.11
I00002,O0065,P0367,1,3125.07,0.41
I00003,O0253,P0112,1,2459.2,15.58
I00004,O0238,P0357,4,5560.83,16.51
I00005,O0398,P0201,2,592.55,23.51
I00006,O0129,P0419,2,2732.88,0.63
I00007,O0500,P0227,2,1805.42,49.73
I00008,O0395,P0049,2,3695.86,49.11
I00009,O0493,P0160,4,6559.89,7.93
I00010,O0282,P0267,1,942.78,24.06
I00011,O0455,P0027,3,6059.24,10.89
I00012,O0223,P0167,1,203.97,39.72
I00013,O0405,P0125,5,161.62,2.1
I00014,O0080,P0191,4,5418.5,12.44
I00015,O0317,P0174,4,6522.86,49.85
I00016,O0331,P0079,1,4939.16,39.57
I00017,O0163,P0286,2,5541.08,37.83
I00018,O0011,P0353,4,2706.61,36.22
I00019,O0249,P0362,3,3118.75,14.74
I00020,O0096,P0279,4,2498.89,36.62
I00021,O0307,P0469,3,6037.87,8.02
I00022,O0152,P0420,5,1917.11,18.36
I00023,O0260,P0195,1,5162.24,44.15
I00024,O0398,P0318,5,1747.63,36.05
I00025,O0098,P0269,5,4814.25,38.29
I00026,O0166,P0210,2,4522.24,5.52
I00027,O0023,P0428,5,6570.82,8.93
I00028,O0249,P0099,1,781.4,28.55
I00029,O0270,P0320,4,4939.07,12.8
I00030,O0368,P0037,3,190.29,46.05
I00031,O0427,P0041,4,3329.61,31.95
I00032,O0481,P0456,3,2970.08,18.45
I00033,O0137,P0271,1,380.51,3.52
I00034,O0111,P0492,3,3684.45,5.06
I00035,O0098,P0099,2,3730.72,12.44
I00036,O0286,P0213,2,5248.15,38.31
I00037,O0235,P0360,5,4690.17,44.14
I00038,O0282,P0206,2,3582.38,32.88
I00039,O0227,P0478,5,2531.04,15.76
I00040,O0212,P0392,3,4469.36,41.31
I00041,O0289,P0280,3,1576.1,38.29
I00042,O0232,P0230,3,6722.79,0.01
I00043,O0306,P0009,1,3671.5,49.67
I00044,O0114,P0110,-3,6004.47,1.09
I00045,O0262,P0285,3,4037.61,28.58
I00046,O0183,P0080,1,1055.02,18.35
I00047,O0132,P0416,5,2172.09,28.52
I00048,O0376,P0040,5,5092.71,39.65
I00049,O0461,P0354,2,4949.65,40.98
I00050,O0154,P0020,1,5142.45,28.81
I00051,O0472,P0395,1,2407.29,43.99
I00052,O0445,P0062,4,6101.53,11.34
I00053,O0325,P0399,5,4462.14,2.71
I00054,O0277,P0290,5,1132.1,25.12
I00055,O0345,P0375,2,6981.83,48.55
I00056,O0047,P0114,5,3080.36,39.32
I00057,O0043,P0244,2,4042.94,2.47
I00058,O0205,P0257,4,3097.99,34.89
I00059,O0102,P0250,2,2827.7,28.57
I00060,O0377,P0269,5,1799.1,3.58
I00061,O0474,P0295,4,718.2,33.59
I00062,O0098,P0165,4,2477.22,32.77
I00063,O0180,P0316,3,5768.93,40.14
I00064,O0023,P0474,5,5745.39,9.98
I00065,O0373,P0437,3,692.12,36.98
I00066,O0475,P0076,2,6094.39,41.01
I00067,O0412,P0057,1,2205.31,23.56
I00068,O0276,P0109,3,1506.23,26.16
I00069,O0319,P0374,3,6946.88,34.75
I00070,O0464,P0340,1,3734.91,12.77
I00071,O0405,P0357,1,4363.96,2.65
I00072,O0339,P0139,1,4674.57,45.64
I00073,O0010,P0150,3,6085.13,32.47
I00074,O0261,P0364,2,787.27,15.77
