product_id,product_name,category,subcategory,cost_price
P0001,Monitor morning,Electronics,Monitor,1398.61
P0002,Keyboard action,Electronics,Keyboard,3284.2
P0003,Headphones recognize,Electronics,Headphones,4310.78
P0004,Monitor edge,Electronics,Monitor,3171.32
P0005,Monitor thus,Electronics,Monitor,275.91
P0006,Laptop sure,Electronics,Laptop,3453.56
P0007,Headphones positive,Electronics,Headphones,3759.16
P0008,Monitor return,Electronics,Monitor,3825.81
P0009,Laptop company,Electronics,Laptop,3500.61
P0010,  LAPTOP SOMETIMES  ,Electronics,Laptop,4001.1
P0011,Headphones my,Electronics,Headphones,2210.37
P0012,Phone challenge,Electronics,Phone,2873.05
P0013,Phone like,Electronics,Phone,486.94
P0014,Monitor collection,Electronics,Monitor,1280.07
P0015,Keyboard country,Electronics,Keyboard,2359.63
P0016,Headphones others,Electronics,Headphones,3367.52
P0017,Monitor others,Electronics,Monitor,3420.29
P0018,  PHONE RECEIVE  ,Electronics,Phone,4731.65
P0019,Keyboard turn,Electronics,Keyboard,4813.94
P0020,Headphones child,Electronics,Headphones,1580.4
P0021,Monitor simply,Electronics,Monitor,622.6
P0022,Monitor sign,Electronics,Monitor,2916.58
P0023,  HEADPHONES MEMBER  ,Electronics,Headphones,4167.18
P0024,Monitor wrong,Electronics,Monitor,2873.05
P0025,Laptop her,Electronics,Laptop,3751.34
P0026,Headphones amount,Electronics,Headphones,1227.58
P0027,Headphones discuss,Electronics,Headphones,1031.65
P0028,Headphones sort,Electronics,Headphones,3632.55
P0029,Phone method,Electronics,Phone,4526.68
P0030,Laptop each,Electronics,Laptop,2260.03
P0031,Keyboard at,Electronics,Keyboard,743.92
P0032,Headphones everything,Electronics,Headphones,2135.97
P0033,Phone hope,Electronics,Phone,2743.1
P0034,Headphones east,Electronics,Headphones,4576.09
P0035,Phone and,Electronics,Phone,4140.98
P0036,Monitor relate,Electronics,Monitor,1546.19
P0037,Headphones design,Electronics,Headphones,2394.82
