cohort_month,month_number,customers_ordered,cohort_customers,retention_rate
2024-05,3,1,16,6.25
2024-07,1,1,17,5.88
2024-07,2,1,17,5.88
2024-07,3,1,17,5.88
2024-08,0,1,18,5.56
2024-08,1,1,18,5.56
2024-08,2,1,18,5.56
2024-09,0,1,11,9.09
2024-09,1,1,11,9.09
2024-09,2,1,11,9.09
2024-09,3,1,11,9.09
2024-10,0,1,13,7.69
2024-11,0,1,9,11.11
2024-12,0,2,16,12.5
2024-12,2,1,16,6.25
2025-01,1,1,15,6.67
2025-02,0,3,16,18.75
2025-02,1,1,16,6.25
2025-03,0,2,13,15.38
2025-03,1,1,13,7.69
2025-03,3,2,13,15.38
2025-04,3,1,15,6.67
2025-05,3,2,19,10.53
2025-06,0,2,17,11.76
2025-06,1,2,17,11.76
2025-07,2,2,9,22.22
2025-07,3,1,9,11.11
2025-08,3,1,13,7.69
2025-09,1,1,12,8.33
2025-09,3,1,12,8.33
2025-10,0,1,10,10.0
2025-11,1,2,12,16.67
2025-11,2,1,12,8.33
2025-12,0,2,15,13.33
2025-12,2,1,15,6.67
2025-12,3,1,15,6.67
2026-03,2,1,11,9.09
2026-03,3,1,11,9.09
2026-04,1,1,7,14.29
2026-06,1,2,17,11.76
2026-06,2,1,17,5.88
