customer_id,first_category,recent_category,category_shift
C0003,Books,Books,No
C0004,Clothing,Clothing,No
C0005,Home,Home,No
C0007,Home,Electronics,Yes
C0008,Home,Home,No
C0013,Books,Books,No
C0016,Books,Books,No
C0017,Electronics,Electronics,No
C0019,Books,Books,No
C0020,Books,Books,No
C0021,Electronics,Electronics,No
C0023,Clothing,Electronics,Yes
C0024,Home,Home,No
C0025,Clothing,Clothing,No
C0028,Electronics,Electronics,No
C0029,Clothing,Clothing,No
C0036,Books,Electronics,Yes
C0037,Clothing,Clothing,No
C0038,Clothing,Clothing,No
C0039,Home,Home,No
C0041,Clothing,Home,Yes
C0042,Electronics,Electronics,No
C0047,Electronics,Electronics,No
C0048,Home,Clothing,Yes
C0050,Clothing,Clothing,No
C0052,Clothing,Electronics,Yes
C0053,Clothing,Home,Yes
C0055,Electronics,Clothing,Yes
C0056,Electronics,Electronics,No
C0058,Home,Home,No
C0060,Books,Books,No
C0061,Electronics,Home,Yes
C0064,Clothing,Clothing,No
C0065,Electronics,Electronics,No
C0066,Home,Clothing,Yes
C0067,Home,Home,No
C0068,Books,Books,No
C0070,Clothing,Electronics,Yes
C0071,Clothing,Clothing,No
C0072,Electronics,Clothing,Yes
C0074,Home,Home,No
C0075,Books,Books,No
C0077,Electronics,Home,Yes
C0079,Home,Clothing,Yes
C0080,Home,Home,No
C0083,Clothing,Clothing,No
C0084,Electronics,Electronics,No
C0085,Electronics,Electronics,No
C0087,Clothing,Clothing,No
C0088,Clothing,Clothing,No
C0090,Books,Home,Yes
C0091,Clothing,Clothing,No
C0095,Electronics,Electronics,No
C0097,Home,Home,No
C0099,Home,Home,No
C0101,Clothing,Electronics,Yes
C0104,Home,Home,No
C0106,Home,Home,No
C0107,Clothing,Clothing,No
C0108,Home,Electronics,Yes
C0109,Books,Books,No
C0110,Home,Books,Yes
C0114,Books,Books,No
C0117,Clothing,Clothing,No
C0119,Clothing,Clothing,No
C0120,Electronics,Electronics,No
C0122,Home,Electronics,Yes
C0124,Home,Clothing,Yes
C0125,Electronics,Electronics,No
C0128,Books,Books,No
C0131,Books,Electronics,Yes
C0133,Books,Electronics,Yes
C0135,Home,Electronics,Yes
C0136,Books,Books,No
C0138,Clothing,Home,Yes
C0142,Electronics,Electronics,No
C0143,Home,Home,No
C0144,Electronics,Books,Yes
C0146,Electronics,Electronics,No
C0147,Electronics,Electronics,No
C0150,Books,Books,No
C0151,Home,Home,No
C0152,Clothing,Clothing,No
C0153,Books,Books,No
C0156,Home,Home,No
C0157,Clothing,Clothing,No
C0159,Clothing,Clothing,No
C0161,Books,Books,No
C0162,Clothing,Home,Yes
C0163,Books,Clothing,Yes
C0164,Books,Books,No
C0167,Electronics,Electronics,No
C0168,Home,Home,No
C0169,Clothing,Clothing,No
C0170,Electronics,Electronics,No
C0175,Books,Books,No
C0177,Clothing,Clothing,No
C0178,Clothing,Clothing,No
C0179,Home,Home,No
C0180,Books,Books,No
C0181,Clothing,Clothing,No
C0182,Electronics,Electronics,No
C0185,Home,Home,No
C0187,Electronics,Electronics,No
C0192,Electronics,Electronics,No
C0193,Books,Books,No
C0194,Electronics,Electronics,No
C0195,Books,Books,No
C0199,Books,Books,No
C0201,Books,Home,Yes
C0202,Books,Books,No
C0203,Books,Books,No
C0204,Books,Books,No
C0205,Clothing,Clothing,No
C0206,Books,Clothing,Yes
C0207,Clothing,Home,Yes
C0208,Clothing,Clothing,No
C0211,Home,Home,No
C0212,Electronics,Electronics,No
C0213,Clothing,Clothing,No
C0214,Home,Electronics,Yes
C0220,Electronics,Home,Yes
C0221,Electronics,Electronics,No
C0222,Home,Home,No
C0223,Home,Home,No
C0227,Electronics,Electronics,No
C0228,Electronics,Home,Yes
C0229,Electronics,Electronics,No
C0231,Home,Home,No
C0233,Clothing,Clothing,No
C0234,Electronics,Home,Yes
C0235,Clothing,Clothing,No
C0240,Clothing,Clothing,No
C0241,Clothing,Clothing,No
C0242,Clothing,Clothing,No
C0245,Clothing,Books,Yes
C0247,Home,Home,No
C0248,Books,Home,Yes
C0249,Electronics,Electronics,No
C0252,Clothing,Clothing,No
C0256,Books,Home,Yes
C0261,Electronics,Books,Yes
C0262,Clothing,Electronics,Yes
C0263,Books,Books,No
C0264,Clothing,Home,Yes
C0267,Clothing,Home,Yes
C0268,Clothing,Clothing,No
C0273,Electronics,Home,Yes
C0274,Clothing,Home,Yes
C0275,Home,Books,Yes
C0277,Home,Electronics,Yes
C0281,Electronics,Books,Yes
C0282,Clothing,Clothing,No
C0283,Home,Home,No
C0285,Books,Books,No
C0287,Books,Home,Yes
C0289,Home,Clothing,Yes
C0290,Home,Electronics,Yes
C0292,Home,Electronics,Yes
C0293,Clothing,Clothing,No
C0295,Books,Electronics,Yes
C0296,Electronics,Books,Yes
C0299,Home,Home,No
C0300,Books,Books,No
C0302,Electronics,Clothing,Yes
C0303,Clothing,Clothing,No
C0304,Electronics,Electronics,No
C0306,Clothing,Clothing,No
C0307,Clothing,Clothing,No
C0308,Electronics,Electronics,No
C0309,Books,Books,No
C0310,Electronics,Electronics,No
C0311,Electronics,Books,Yes
C0313,Clothing,Clothing,No
C0315,Electronics,Electronics,No
C0316,Clothing,Clothing,No
C0317,Clothing,Clothing,No
C0320,Home,Home,No
C0321,Books,Home,Yes
C0323,Clothing,Clothing,No
C0324,Books,Home,Yes
C0325,Clothing,Electronics,Yes
C0327,Electronics,Electronics,No
C0328,Electronics,Electronics,No
C0329,Books,Books,No
C0330,Home,Home,No
C0331,Books,Books,No
C0332,Clothing,Clothing,No
C0333,Electronics,Home,Yes
C0335,Books,Electronics,Yes
C0336,Books,Books,No
C0339,Clothing,Clothing,No
C0340,Clothing,Clothing,No
C0341,Electronics,Electronics,No
C0343,Books,Books,No
C0344,Clothing,Clothing,No
C0345,Home,Home,No
C0346,Electronics,Electronics,No
C0347,Home,Home,No
C0349,Books,Books,No
C0352,Home,Books,Yes
C0353,Home,Home,No
C0356,Home,Books,Yes
C0358,Home,Home,No
C0361,Clothing,Electronics,Yes
C0365,Home,Home,No
C0367,Electronics,Electronics,No
C0369,Clothing,Clothing,No
C0372,Electronics,Electronics,No
C0373,Electronics,Clothing,Yes
C0374,Electronics,Electronics,No
C0378,Home,Home,No
C0380,Home,Electronics,Yes
C0381,Electronics,Electronics,No
C0382,Electronics,Electronics,No
C0383,Books,Home,Yes
C0384,Home,Home,No
C0386,Clothing,Clothing,No
C0388,Books,Home,Yes
C0390,Electronics,Electronics,No
C0391,Electronics,Electronics,No
C0392,Clothing,Home,Yes
C0393,Home,Home,No
C0395,Home,Home,No
C0397,Electronics,Books,Yes
C0398,Clothing,Clothing,No
C0401,Books,Home,Yes
C0402,Home,Electronics,Yes
C0403,Electronics,Electronics,No
C0405,Electronics,Electronics,No
C0406,Electronics,Electronics,No
C0409,Electronics,Books,Yes
C0410,Home,Electronics,Yes
C0411,Home,Home,No
C0412,Electronics,Books,Yes
C0413,Electronics,Electronics,No
C0414,Home,Home,No
C0420,Clothing,Clothing,No
C0421,Home,Books,Yes
C0422,Books,Home,Yes
C0424,Books,Books,No
C0426,Electronics,Electronics,No
C0428,Books,Books,No
C0429,Books,Books,No
C0430,Books,Books,No
C0431,Clothing,Books,Yes
C0433,Clothing,Clothing,No
C0434,Clothing,Clothing,No
C0435,Electronics,Electronics,No
C0439,Books,Books,No
C0440,Electronics,Electronics,No
C0442,Books,Books,No
C0446,Home,Clothing,Yes
C0449,Books,Home,Yes
C0451,Electronics,Electronics,No
C0454,Clothing,Home,Yes
C0457,Home,Home,No
C0458,Home,Books,Yes
C0460,Home,Home,No
C0461,Books,Home,Yes
C0462,Home,Home,No
C0465,Clothing,Clothing,No
C0467,Electronics,Electronics,No
C0471,Home,Home,No
C0472,Electronics,Electronics,No
C0473,Books,Books,No
C0474,Clothing,Clothing,No
C0475,Books,Books,No
C0476,Electronics,Electronics,No
C0478,Electronics,Electronics,No
C0482,Books,Books,No
C0488,Clothing,Clothing,No
C0489,Electronics,Electronics,No
C0490,Clothing,Clothing,No
C0492,Home,Home,No
C0493,Clothing,Clothing,No
C0494,Books,Home,Yes
C0495,Electronics,Electronics,No
C0496,Clothing,Clothing,No
C0497,Home,Home,No
C0498,Clothing,Clothing,No
C0499,Books,Books,No
