customer_id,revenue,cumulative_revenue,cumulative_percent
C0494,131392.31,131392.31,1.73
C0449,115581.21,246973.52,3.26
C0380,88981.18,335954.7,4.43
C0361,87968.17,423922.87,5.6
C0053,87935.0,511857.87,6.76
C0080,79020.45,590878.32,7.8
C0079,77718.34,668596.65,8.82
C0290,76861.77,745458.42,9.84
C0072,76559.05,822017.47,10.85
C0206,76060.23,898077.7,11.85
C0333,69991.28,968068.98,12.78
C0402,69567.18,1037636.16,13.7
C0204,69172.78,1106808.94,14.61
C0201,68936.49,1175745.43,15.52
C0108,67504.02,1243249.45,16.41
C0488,65799.21,1309048.66,17.28
C0310,65748.8,1374797.46,18.15
C0304,63965.21,1438762.67,18.99
C0413,62965.87,1501728.53,19.82
C0299,62722.15,1564450.68,20.65
C0036,61921.42,1626372.1,21.47
C0144,59920.82,1686292.93,22.26
C0021,58449.35,1744742.28,23.03
C0410,57971.98,1802714.26,23.79
C0451,57858.93,1860573.19,24.56
C0300,57666.38,1918239.57,25.32
C0263,57110.6,1975350.17,26.07
C0325,56781.27,2032131.45,26.82
C0356,56360.82,2088492.27,27.57
C0412,56337.56,2144829.83,28.31
C0264,55633.96,2200463.79,29.04
C0397,55337.73,2255801.52,29.77
C0128,54980.46,2310781.98,30.5
C0454,54573.87,2365355.86,31.22
C0282,54289.54,2419645.39,31.94
C0220,53569.69,2473215.09,32.64
C0383,52860.71,2526075.79,33.34
C0287,52143.43,2578219.23,34.03
C0124,51274.39,2629493.62,34.71
C0052,50769.59,2680263.2,35.38
C0295,50409.1,2730672.3,36.04
C0277,49551.99,2780224.29,36.7
C0431,49466.87,2829691.16,37.35
C0446,48947.46,2878638.63,37.99
C0461,48941.44,2927580.06,38.64
C0421,48561.64,2976141.71,39.28
C0332,47952.01,3024093.72,39.91
C0061,47630.44,3071724.16,40.54
C0066,47612.36,3119336.51,41.17
C0119,47426.14,3166762.65,41.8
C0490,46983.87,3213746.51,42.42
C0074,45716.38,3259462.9,43.02
C0392,45645.6,3305108.49,43.62
C0275,44156.32,3349264.81,44.21
C0175,44124.13,3393388.95,44.79
C0070,43851.74,3437240.69,45.37
C0401,43280.68,3480521.37,45.94
C0476,43137.01,3523658.38,46.51
C0467,42868.24,3566526.62,47.07
C0071,42775.13,3609301.75,47.64
C0007,42385.98,3651687.73,48.2
C0373,42346.65,3694034.38,48.76
C0374,41586.76,3735621.15,49.31
C0117,41300.09,3776921.23,49.85
C0090,41065.34,3817986.57,50.39
C0365,40844.96,3858831.53,50.93
C0422,40728.38,3899559.91,51.47
C0023,40413.75,3939973.66,52.0
C0233,40017.66,3979991.32,52.53
C0262,39927.86,4019919.18,53.06
C0381,39490.23,4059409.41,53.58
C0489,38341.26,4097750.67,54.09
C0181,37814.33,4135565.0,54.58
C0050,37402.69,4172967.7,55.08
C0372,36657.87,4209625.56,55.56
C0411,36223.98,4245849.54,56.04
C0207,34913.6,4280763.14,56.5
C0283,34836.46,4315599.6,56.96
C0335,34681.26,4350280.86,57.42
C0192,34288.34,4384569.21,57.87
C0135,33855.55,4418424.75,58.32
C0471,33787.17,4452211.93,58.76
C0261,33131.03,4485342.96,59.2
C0311,32984.58,4518327.54,59.64
C0496,32809.1,4551136.64,60.07
C0329,32378.56,4583515.21,60.5
C0321,32283.08,4615798.29,60.92
C0083,32090.4,4647888.68,61.35
C0194,31985.05,4679873.73,61.77
C0433,31870.83,4711744.56,62.19
C0056,31769.13,4743513.69,62.61
C0292,31758.97,4775272.66,63.03
C0458,31731.68,4807004.34,63.45
C0228,31665.02,4838669.36,63.86
C0420,31480.06,4870149.42,64.28
C0242,31463.05,4901612.46,64.7
C0133,31267.93,4932880.39,65.11
C0087,31143.83,4964024.23,65.52
C0162,30806.76,4994830.99,65.93
C0169,30781.06,5025612.05,66.33
C0170,30746.99,5056359.05,66.74
C0003,30439.57,5086798.61,67.14
C0388,30268.1,5117066.71,67.54
C0138,29225.67,5146292.38,67.92
C0106,29017.23,5175309.61,68.31
C0343,28869.62,5204179.22,68.69
C0037,28637.86,5232817.08,69.07
C0024,28485.32,5261302.4,69.44
C0213,28379.32,5289681.72,69.82
C0147,28350.34,5318032.06,70.19
C0274,28333.63,5346365.69,70.57
C0131,28216.91,5374582.6,70.94
C0107,28091.9,5402674.49,71.31
C0004,27932.95,5430607.44,71.68
C0163,27766.79,5458374.23,72.04
C0065,27762.64,5486136.87,72.41
C0241,27524.97,5513661.84,72.77
C0048,27338.79,5541000.64,73.13
