customer_id,order_date,previous_order_date,days_gap,customer_status
C0007,2025-04-12,,,At Risk
C0007,2026-04-16,2025-04-12,369.0,At Risk
C0023,2024-10-21,,,At Risk
C0023,2024-12-28,2024-10-21,68.0,At Risk
C0023,2026-02-02,2024-12-28,401.0,At Risk
C0036,2025-08-27,,,Active
C0036,2025-09-02,2025-08-27,6.0,Active
C0036,2025-09-19,2025-09-02,17.0,Active
C0039,2025-02-15,,,At Risk
C0039,2025-06-19,2025-02-15,124.0,At Risk
C0041,2025-03-14,,,Active
C0041,2025-03-22,2025-03-14,8.0,Active
C0041,2025-04-28,2025-03-22,37.0,Active
C0047,2025-09-25,,,At Risk
C0047,2026-01-24,2025-09-25,121.0,At Risk
C0048,2025-07-15,,,At Risk
C0048,2026-05-16,2025-07-15,305.0,At Risk
C0052,2025-07-06,,,At Risk
C0052,2026-03-24,2025-07-06,261.0,At Risk
C0052,2026-06-22,2026-03-24,90.0,At Risk
C0053,2024-10-16,,,At Risk
C0053,2025-07-08,2024-10-16,265.0,At Risk
C0053,2025-09-29,2025-07-08,83.0,At Risk
C0055,2026-01-12,,,At Risk
C0055,2026-04-21,2026-01-12,99.0,At Risk
C0056,2024-08-25,,,At Risk
C0056,2026-03-17,2024-08-25,569.0,At Risk
C0061,2024-12-04,,,At Risk
C0061,2025-12-18,2024-12-04,379.0,At Risk
C0065,2025-01-05,,,At Risk
C0065,2025-03-13,2025-01-05,67.0,At Risk
C0066,2024-09-02,,,At Risk
C0066,2026-08-02,2024-09-02,699.0,At Risk
C0070,2025-02-11,,,At Risk
C0070,2025-06-04,2025-02-11,113.0,At Risk
C0072,2024-09-24,,,At Risk
C0072,2025-02-16,2024-09-24,145.0,At Risk
C0072,2025-03-23,2025-02-16,35.0,At Risk
C0072,2025-06-04,2025-03-23,73.0,At Risk
C0072,2026-07-18,2025-06-04,409.0,At Risk
C0072,2026-07-24,2026-07-18,6.0,At Risk
C0077,2025-04-26,,,At Risk
C0077,2025-07-12,2025-04-26,77.0,At Risk
C0079,2024-11-06,,,At Risk
C0079,2025-05-08,2024-11-06,183.0,At Risk
C0079,2026-04-10,2025-05-08,337.0,At Risk
C0080,2024-09-14,,,At Risk
C0080,2024-12-20,2024-09-14,97.0,At Risk
C0080,2025-11-24,2024-12-20,339.0,At Risk
C0080,2026-05-11,2025-11-24,168.0,At Risk
C0083,2025-02-14,,,At Risk
C0083,2025-09-03,2025-02-14,201.0,At Risk
C0090,2024-11-25,,,Active
C0090,2024-11-30,2024-11-25,5.0,Active
C0101,2025-05-02,,,At Risk
C0101,2026-04-04,2025-05-02,337.0,At Risk
C0108,2024-08-04,,,At Risk
C0108,2024-11-22,2024-08-04,110.0,At Risk
C0110,2025-06-15,,,At Risk
C0110,2026-04-26,2025-06-15,315.0,At Risk
C0119,2025-01-03,,,At Risk
C0119,2025-12-01,2025-01-03,332.0,At Risk
C0122,2024-08-31,,,At Risk
C0122,2025-11-04,2024-08-31,430.0,At Risk
C0122,2026-01-24,2025-11-04,81.0,At Risk
C0124,2025-05-15,,,At Risk
C0124,2026-08-01,2025-05-15,443.0,At Risk
C0128,2024-11-21,,,At Risk
C0128,2025-08-03,2024-11-21,255.0,At Risk
C0131,2024-09-25,,,At Risk
C0131,2025-11-13,2024-09-25,414.0,At Risk
C0131,2026-06-15,2025-11-13,214.0,At Risk
C0133,2025-03-03,,,At Risk
C0133,2026-01-16,2025-03-03,319.0,At Risk
C0135,2025-04-24,,,At Risk
C0135,2025-07-22,2025-04-24,89.0,At Risk
C0135,2025-10-13,2025-07-22,83.0,At Risk
C0138,2025-07-19,,,At Risk
C0138,2026-07-03,2025-07-19,349.0,At Risk
C0144,2025-04-30,,,At Risk
C0144,2026-06-15,2025-04-30,411.0,At Risk
C0144,2026-07-10,2026-06-15,25.0,At Risk
C0157,2024-10-15,,,At Risk
C0157,2025-02-24,2024-10-15,132.0,At Risk
C0161,2025-04-07,,,At Risk
C0161,2026-07-24,2025-04-07,473.0,At Risk
C0162,2026-03-27,,,At Risk
C0162,2026-07-05,2026-03-27,100.0,At Risk
C0163,2024-12-04,,,At Risk
C0163,2026-04-06,2024-12-04,488.0,At Risk
C0170,2025-07-24,,,At Risk
C0170,2026-07-13,2025-07-24,354.0,At Risk
C0178,2025-09-13,,,At Risk
C0178,2025-11-07,2025-09-13,55.0,At Risk
C0193,2025-07-26,,,At Risk
C0193,2025-12-03,2025-07-26,130.0,At Risk
C0201,2025-01-02,,,At Risk
C0201,2025-05-22,2025-01-02,140.0,At Risk
C0203,2024-09-25,,,At Risk
C0203,2025-06-25,2024-09-25,273.0,At Risk
C0204,2024-12-13,,,At Risk
C0204,2025-03-11,2024-12-13,88.0,At Risk
C0204,2026-04-15,2025-03-11,400.0,At Risk
C0206,2024-11-13,,,At Risk
C0206,2025-09-18,2024-11-13,309.0,At Risk
C0206,2026-08-03,2025-09-18,319.0,At Risk
C0207,2025-04-10,,,At Risk
C0207,2025-09-17,2025-04-10,160.0,At Risk
C0208,2025-10-22,,,At Risk
C0208,2026-04-22,2025-10-22,182.0,At Risk
C0214,2024-12-22,,,At Risk
C0214,2026-04-29,2024-12-22,493.0,At Risk
C0220,2025-03-07,,,At Risk
C0220,2025-07-14,2025-03-07,129.0,At Risk
C0220,2026-02-13,2025-07-14,214.0,At Risk
C0228,2025-10-12,,,At Risk
C0228,2025-11-18,2025-10-12,37.0,At Risk
C0234,2025-10-30,,,At Risk
C0234,2025-11-21,2025-10-30,22.0,At Risk
C0234,2026-03-03,2025-11-21,102.0,At Risk
C0234,2026-04-30,2026-03-03,58.0,At Risk
C0245,2025-01-18,,,At Risk
C0245,2025-03-20,2025-01-18,61.0,At Risk
C0248,2026-06-14,,,Active
C0248,2026-06-15,2026-06-14,1.0,Active
C0256,2025-04-20,,,At Risk
C0256,2025-10-06,2025-04-20,169.0,At Risk
C0256,2026-03-19,2025-10-06,164.0,At Risk
C0261,2024-12-11,,,At Risk
C0261,2025-02-08,2024-12-11,59.0,At Risk
C0261,2025-03-08,2025-02-08,28.0,At Risk
C0262,2025-04-28,,,At Risk
C0262,2025-09-17,2025-04-28,142.0,At Risk
C0262,2026-01-15,2025-09-17,120.0,At Risk
C0264,2025-05-31,,,At Risk
C0264,2025-12-20,2025-05-31,203.0,At Risk
C0267,2026-01-21,,,At Risk
C0267,2026-07-29,2026-01-21,189.0,At Risk
C0273,2025-02-01,,,At Risk
C0273,2025-12-27,2025-02-01,329.0,At Risk
C0274,2025-09-01,,,At Risk
C0274,2026-02-22,2025-09-01,174.0,At Risk
C0275,2024-09-04,,,At Risk
C0275,2024-12-04,2024-09-04,91.0,At Risk
C0275,2025-02-21,2024-12-04,79.0,At Risk
C0277,2024-11-25,,,At Risk
C0277,2025-09-12,2024-11-25,291.0,At Risk
C0277,2025-12-29,2025-09-12,108.0,At Risk
C0281,2025-12-29,,,At Risk
C0281,2026-02-23,2025-12-29,56.0,At Risk
C0282,2025-01-17,,,At Risk
C0282,2025-04-15,2025-01-17,88.0,At Risk
C0282,2025-04-19,2025-04-15,4.0,At Risk
C0285,2025-08-21,,,At Risk
C0285,2025-10-03,2025-08-21,43.0,At Risk
C0287,2025-01-07,,,At Risk
C0287,2025-02-05,2025-01-07,29.0,At Risk
C0287,2025-05-24,2025-02-05,108.0,At Risk
C0287,2026-01-22,2025-05-24,243.0,At Risk
C0289,2024-08-10,,,At Risk
C0289,2025-01-23,2024-08-10,166.0,At Risk
C0289,2025-04-14,2025-01-23,81.0,At Risk
C0289,2025-07-18,2025-04-14,95.0,At Risk
C0290,2024-08-21,,,At Risk
C0290,2025-09-29,2024-08-21,404.0,At Risk
C0290,2026-03-11,2025-09-29,163.0,At Risk
C0292,2026-01-08,,,At Risk
C0292,2026-03-12,2026-01-08,63.0,At Risk
C0295,2026-04-30,,,At Risk
C0295,2026-06-11,2026-04-30,42.0,At Risk
C0296,2025-02-21,,,At Risk
C0296,2025-03-29,2025-02-21,36.0,At Risk
C0300,2025-01-25,,,At Risk
C0300,2025-08-29,2025-01-25,216.0,At Risk
C0300,2026-03-17,2025-08-29,200.0,At Risk
C0302,2024-12-09,,,At Risk
C0302,2025-11-25,2024-12-09,351.0,At Risk
C0311,2025-08-23,,,At Risk
C0311,2026-07-06,2025-08-23,317.0,At Risk
C0321,2024-12-18,,,At Risk
C0321,2026-08-03,2024-12-18,593.0,At Risk
C0324,2025-03-29,,,At Risk
C0324,2025-11-27,2025-03-29,243.0,At Risk
C0325,2024-09-28,,,At Risk
C0325,2024-12-17,2024-09-28,80.0,At Risk
C0325,2025-10-25,2024-12-17,312.0,At Risk
C0332,2025-01-26,,,At Risk
C0332,2026-05-30,2025-01-26,489.0,At Risk
C0332,2026-06-07,2026-05-30,8.0,At Risk
C0333,2024-11-04,,,At Risk
C0333,2026-03-06,2024-11-04,487.0,At Risk
C0335,2025-08-06,,,At Risk
C0335,2026-05-29,2025-08-06,296.0,At Risk
C0336,2024-09-21,,,At Risk
C0336,2025-02-05,2024-09-21,137.0,At Risk
C0340,2024-10-03,,,At Risk
C0340,2026-04-03,2024-10-03,547.0,At Risk
C0346,2024-12-23,,,At Risk
C0346,2025-06-14,2024-12-23,173.0,At Risk
C0347,2025-02-28,,,At Risk
C0347,2026-02-18,2025-02-28,355.0,At Risk
C0352,2025-04-29,,,At Risk
C0352,2025-06-22,2025-04-29,54.0,At Risk
C0353,2025-12-29,,,At Risk
