customer_id,total_value,quartile,quartile_label
C0494,131392.31,1,Platinum
C0449,115581.21,1,Platinum
C0380,88981.18,1,Platinum
C0361,87968.17,1,Platinum
C0053,87935.0,1,Platinum
C0080,79020.45,1,Platinum
C0079,77718.34,1,Platinum
C0290,76861.77,1,Platinum
C0072,76559.05,1,Platinum
C0206,76060.23,1,Platinum
C0333,69991.28,1,Platinum
C0402,69567.18,1,Platinum
C0204,69172.78,1,Platinum
C0201,68936.49,1,Platinum
C0108,67504.02,1,Platinum
C0488,65799.21,1,Platinum
C0310,65748.8,1,Platinum
C0304,63965.21,1,Platinum
C0413,62965.87,1,Platinum
C0299,62722.15,1,Platinum
C0036,61921.42,1,Platinum
C0144,59920.82,1,Platinum
C0021,58449.35,1,Platinum
C0410,57971.98,1,Platinum
C0451,57858.93,1,Platinum
C0300,57666.38,1,Platinum
C0263,57110.6,1,Platinum
C0325,56781.27,1,Platinum
C0356,56360.82,1,Platinum
C0412,56337.56,1,Platinum
C0264,55633.96,1,Platinum
C0397,55337.73,1,Platinum
C0128,54980.46,1,Platinum
C0454,54573.87,1,Platinum
C0282,54289.54,1,Platinum
C0220,53569.69,1,Platinum
C0383,52860.71,1,Platinum
C0287,52143.43,1,Platinum
C0124,51274.39,1,Platinum
C0052,50769.59,1,Platinum
C0295,50409.1,1,Platinum
C0277,49551.99,1,Platinum
C0431,49466.87,1,Platinum
C0446,48947.46,1,Platinum
C0461,48941.44,1,Platinum
C0421,48561.64,1,Platinum
C0332,47952.01,1,Platinum
C0061,47630.44,1,Platinum
C0066,47612.36,1,Platinum
C0119,47426.14,1,Platinum
C0490,46983.87,1,Platinum
C0074,45716.38,1,Platinum
C0392,45645.6,1,Platinum
C0275,44156.32,1,Platinum
C0175,44124.13,1,Platinum
C0070,43851.74,1,Platinum
C0401,43280.68,1,Platinum
C0476,43137.01,1,Platinum
C0467,42868.24,1,Platinum
C0071,42775.13,1,Platinum
C0007,42385.98,1,Platinum
C0373,42346.65,1,Platinum
C0374,41586.76,1,Platinum
C0117,41300.09,1,Platinum
C0090,41065.34,1,Platinum
C0365,40844.96,1,Platinum
C0422,40728.38,1,Platinum
C0023,40413.75,1,Platinum
C0233,40017.66,1,Platinum
C0262,39927.86,1,Platinum
C0381,39490.23,1,Platinum
C0489,38341.26,2,Gold
C0181,37814.33,2,Gold
C0050,37402.69,2,Gold
C0372,36657.87,2,Gold
C0411,36223.98,2,Gold
C0207,34913.6,2,Gold
C0283,34836.46,2,Gold
C0335,34681.26,2,Gold
C0192,34288.34,2,Gold
C0135,33855.55,2,Gold
C0471,33787.17,2,Gold
C0261,33131.03,2,Gold
C0311,32984.58,2,Gold
C0496,32809.1,2,Gold
C0329,32378.56,2,Gold
C0321,32283.08,2,Gold
C0083,32090.4,2,Gold
C0194,31985.05,2,Gold
C0433,31870.83,2,Gold
C0056,31769.13,2,Gold
C0292,31758.97,2,Gold
C0458,31731.68,2,Gold
C0228,31665.02,2,Gold
C0420,31480.06,2,Gold
C0242,31463.05,2,Gold
C0133,31267.93,2,Gold
C0087,31143.83,2,Gold
C0162,30806.76,2,Gold
C0169,30781.06,2,Gold
C0170,30746.99,2,Gold
C0003,30439.57,2,Gold
C0388,30268.1,2,Gold
C0138,29225.67,2,Gold
C0106,29017.23,2,Gold
C0343,28869.62,2,Gold
C0037,28637.86,2,Gold
C0024,28485.32,2,Gold
C0213,28379.32,2,Gold
C0147,28350.34,2,Gold
C0274,28333.63,2,Gold
C0131,28216.91,2,Gold
C0107,28091.9,2,Gold
C0004,27932.95,2,Gold
C0163,27766.79,2,Gold
C0065,27762.64,2,Gold
C0241,27524.97,2,Gold
C0048,27338.79,2,Gold
C0245,27028.41,2,Gold
C0430,26959.93,2,Gold
C0042,26751.38,2,Gold
C0085,26597.18,2,Gold
C0195,26302.4,2,Gold
C0212,26299.19,2,Gold
C0177,26169.57,2,Gold
C0234,25904.19,2,Gold
C0347,25621.21,2,Gold
C0101,24953.74,2,Gold
C0199,24769.47,2,Gold
C0005,24629.59,2,Gold
C0495,24169.99,2,Gold
C0038,23940.39,2,Gold
C0161,23935.4,2,Gold
C0157,23935.21,2,Gold
C0159,23869.33,2,Gold
C0336,23846.3,2,Gold
C0303,23695.21,2,Gold
C0091,23683.37,2,Gold
C0136,23500.96,2,Gold
C0248,23100.18,2,Gold
C0308,22677.06,2,Gold
C0346,22409.11,2,Gold
C0067,22276.03,3,Silver
C0025,22151.33,3,Silver
C0267,22004.32,3,Silver
C0075,21706.08,3,Silver
C0435,21569.84,3,Silver
C0008,21540.07,3,Silver
C0482,21509.46,3,Silver
C0247,21422.1,3,Silver
C0041,21042.35,3,Silver
C0358,21002.8,3,Silver
C0143,20617.59,3,Silver
C0309,20595.66,3,Silver
C0317,20415.63,3,Silver
C0028,19990.86,3,Silver
C0440,19733.54,3,Silver
C0182,19521.55,3,Silver
C0029,19246.31,3,Silver
C0395,18951.43,3,Silver
C0409,18268.84,3,Silver
C0104,18260.17,3,Silver
C0055,18229.52,3,Silver
C0328,18224.68,3,Silver
C0327,18139.28,3,Silver
C0084,17912.11,3,Silver
C0428,17706.62,3,Silver
C0256,17516.74,3,Silver
C0499,16725.83,3,Silver
C0156,16677.38,3,Silver
C0460,16627.92,3,Silver
C0168,16497.63,3,Silver
C0293,16320.13,3,Silver
C0390,16303.12,3,Silver
C0439,16180.83,3,Silver
C0378,16143.52,3,Silver
C0020,15940.73,3,Silver
C0320,15804.75,3,Silver
C0316,15780.59,3,Silver
C0330,15607.25,3,Silver
C0474,15603.73,3,Silver
C0340,15436.2,3,Silver
C0406,15362.96,3,Silver
C0227,15274.58,3,Silver
C0426,15208.1,3,Silver
C0231,15177.48,3,Silver
C0429,15138.29,3,Silver
C0352,14974.65,3,Silver
C0384,14835.08,3,Silver
C0222,14751.28,3,Silver
C0013,14716.95,3,Silver
C0122,14660.05,3,Silver
C0268,14590.16,3,Silver
C0077,14490.6,3,Silver
C0473,14432.46,3,Silver
C0187,13969.68,3,Silver
C0403,13928.83,3,Silver
C0398,13612.49,3,Silver
C0478,13470.84,3,Silver
C0223,13427.02,3,Silver
C0315,13106.18,3,Silver
C0405,13017.5,3,Silver
C0349,12609.51,3,Silver
C0391,12443.09,3,Silver
C0457,12380.24,3,Silver
C0434,12276.93,3,Silver
C0153,12173.34,3,Silver
C0109,12113.22,3,Silver
C0345,12082.29,3,Silver
C0150,11936.52,3,Silver
C0193,11903.49,3,Silver
C0205,11838.16,3,Silver
C0273,11534.05,4,Bronze
C0367,11511.83,4,Bronze
C0289,11302.07,4,Bronze
C0185,11150.38,4,Bronze
C0442,11004.11,4,Bronze
C0221,10723.62,4,Bronze
C0313,10400.8,4,Bronze
C0249,10111.98,4,Bronze
C0099,10082.78,4,Bronze
C0323,9795.99,4,Bronze
C0058,9720.17,4,Bronze
C0472,8336.43,4,Bronze
C0324,8230.04,4,Bronze
C0285,8212.45,4,Bronze
C0017,7952.81,4,Bronze
C0151,7896.74,4,Bronze
C0164,7825.64,4,Bronze
C0152,7778.34,4,Bronze
C0498,7213.16,4,Bronze
C0064,7052.82,4,Bronze
C0202,6926.35,4,Bronze
C0097,6505.52,4,Bronze
C0382,6147.58,4,Bronze
C0414,5992.27,4,Bronze
C0307,5804.97,4,Bronze
C0039,5794.54,4,Bronze
C0465,5660.14,4,Bronze
C0475,5431.33,4,Bronze
C0019,5239.19,4,Bronze
C0179,4925.99,4,Bronze
C0353,4897.85,4,Bronze
C0302,4665.54,4,Bronze
C0386,4552.61,4,Bronze
C0016,4371.6,4,Bronze
C0125,4242.08,4,Bronze
C0393,4171.96,4,Bronze
C0120,4124.47,4,Bronze
C0208,4042.83,4,Bronze
C0203,3879.29,4,Bronze
C0088,3784.29,4,Bronze
C0146,3659.82,4,Bronze
C0341,3654.27,4,Bronze
C0060,3615.94,4,Bronze
C0114,3353.46,4,Bronze
C0047,3336.6,4,Bronze
C0235,3320.08,4,Bronze
C0492,3186.98,4,Bronze
C0211,3111.84,4,Bronze
C0339,2896.92,4,Bronze
C0306,2883.11,4,Bronze
C0095,2816.62,4,Bronze
C0240,2571.79,4,Bronze
