product_a,product_b,times_bought_together
Laptop National,Jacket Then,2
Keyboard Off,Sofa Other,2
Keyboard Action,Keyboard Country,1
Headphones Recognize,Headphones Over,1
Headphones Recognize,Jacket Care,1
Headphones Recognize,Shoes After,1
Headphones Recognize,Jacket Then,1
Headphones Recognize,Shirt Writer,1
Headphones Recognize,Sofa Necessary,1
Headphones Recognize,Table Both,1
Headphones Recognize,Lamp Summer,1
Headphones Recognize,Comics Summer,1
Monitor Thus,Monitor Sign,1
Monitor Thus,Comics Summer,1
Laptop Sure,Chair How,1
Laptop Sure,Lamp Hospital,1
Headphones Positive,Sofa Accept,1
Monitor Return,Table Security,1
Monitor Return,Mixer Country,1
Monitor Return,Novel Defense,1
Monitor Return,Dictionary Day,1
Laptop Company,Keyboard Less,1
Laptop Company,Shoes Arrive,1
Laptop Company,T-Shirt Compare,1
Laptop Company,Lamp If,1
Laptop Company,Comics Near,1
Laptop Company,Comics Summer,1
Laptop Company,Dictionary Baby,1
Headphones My,Headphones Manager,1
Headphones My,Headphones Look,1
Headphones My,Phone Water,1
Headphones My,Keyboard Whatever,1
Headphones My,Monitor Into,1
Headphones My,Shoes Much,1
Headphones My,Shoes Pick,1
Headphones My,Novel Ten,1
Headphones My,Science Book Often,1
Phone Challenge,Phone Series,1
Phone Challenge,Jacket Animal,1
Phone Challenge,Shoes Federal,1
Phone Challenge,Jeans Pass,1
Phone Challenge,Lamp Industry,1
Phone Challenge,Comics Peace,1
Phone Challenge,Novel Happen,1
Phone Challenge,Dictionary Discussion,1
Phone Like,Mixer Center,1
Phone Like,Comics Summer,1
Monitor Collection,Keyboard Less,1
Monitor Collection,Comics Mrs,1
Monitor Collection,Comics Ahead,1
Keyboard Country,Shoes Center,1
Keyboard Country,T-Shirt Market,1
Keyboard Country,T-Shirt Return,1
Keyboard Country,Shoes Kitchen,1
Keyboard Country,Biography Few,1
Keyboard Country,Novel Push,1
Keyboard Country,Science Book Pass,1
Headphones Others,Jeans Professional,1
Headphones Others,T-Shirt Market,1
Headphones Others,Comics Wonder,1
Monitor Others,Jacket Understand,1
Phone Receive,Laptop Each,1
Phone Receive,Headphones Play,1
Phone Receive,Jeans Admit,1
Headphones Child,Table Issue,1
Headphones Child,Comics Instead,1
Headphones Child,Novel Happen,1
Headphones Child,Biography But,1
Monitor Simply,Keyboard However,1
Monitor Simply,T-Shirt Speak,1
Monitor Simply,Shirt Step,1
Monitor Simply,Jeans Receive,1
Monitor Simply,Table Drug,1
Monitor Simply,Chair College,1
Monitor Simply,Novel Score,1
Monitor Simply,Novel Huge,1
Monitor Sign,Monitor Relate,1
Monitor Sign,Headphones Design,1
Monitor Sign,Headphones Property,1
Monitor Sign,Monitor Very,1
Monitor Sign,Shirt Performance,1
Monitor Sign,Jacket Soldier,1
Monitor Sign,Novel Edge,1
Monitor Sign,Biography Author,1
Headphones Member,Headphones Chair,1
Headphones Member,Shirt List,1
Headphones Member,Shoes Meet,1
Headphones Member,Mixer Benefit,1
Monitor Wrong,Headphones Play,1
Monitor Wrong,Jeans Admit,1
Monitor Wrong,Mixer Attack,1
Monitor Wrong,Lamp Politics,1
Monitor Wrong,Dictionary Represent,1
Laptop Her,Headphones High,1
Laptop Her,Shirt Authority,1
Laptop Her,Shirt Step,1
Laptop Her,Mixer Benefit,1
Headphones Amount,Sofa Real,1
Headphones Amount,Dictionary Young,1
Headphones Amount,Dictionary Who,1
Headphones Discuss,Laptop Item,1
Headphones Discuss,Shoes Writer,1
Headphones Discuss,T-Shirt Meet,1
Headphones Discuss,Lamp Difficult,1
Headphones Discuss,Mixer Benefit,1
Headphones Sort,Monitor Themselves,1
Headphones Sort,Laptop Measure,1
Headphones Sort,Jeans Couple,1
Headphones Sort,Jacket Case,1
Headphones Sort,Table Large,1
Headphones Sort,Lamp Issue,1
Headphones Sort,Mixer Participant,1
Headphones Sort,Novel Ten,1
Headphones Sort,Novel Along,1
Headphones Sort,Novel Each,1
Laptop Each,Headphones Play,1
Laptop Each,Jeans Admit,1
Laptop Each,Mixer Treat,1
Laptop Each,Science Book Word,1
Keyboard At,Shoes Image,1
Phone Hope,Headphones Strong,1
Phone Hope,Novel Huge,1
Phone Hope,Comics Meet,1
Headphones East,Lamp Land,1
