month,revenue_category,customer_count
2024-08,High,12
2024-08,Low,2
2024-08,Medium,1
2024-09,High,11
2024-09,Low,1
2024-09,Medium,4
2024-10,High,12
2024-10,Low,2
2024-11,High,11
2024-11,Low,2
2024-11,Medium,4
2024-12,High,20
2024-12,Low,4
2025-01,High,12
2025-01,Low,3
2025-01,Medium,3
2025-02,High,14
2025-02,Low,4
2025-02,Medium,5
2025-03,High,10
2025-03,Low,8
2025-04,High,12
2025-04,Low,7
2025-04,Medium,1
2025-05,High,10
2025-05,Low,3
2025-05,Medium,1
2025-06,High,7
2025-06,Low,3
2025-06,Medium,2
2025-07,High,11
2025-07,Low,3
2025-07,Medium,1
2025-08,High,10
2025-08,Low,1
2025-08,Medium,2
2025-09,High,14
2025-09,Low,4
2025-09,Medium,2
2025-10,High,10
2025-10,Low,5
2025-10,Medium,1
2025-11,High,16
2025-11,Low,4
2025-12,High,14
2025-12,Low,2
2025-12,Medium,3
2026-01,High,7
2026-01,Low,5
2026-01,Medium,2
2026-02,High,8
2026-02,Low,3
2026-02,Medium,3
2026-03,High,14
2026-03,Low,3
2026-03,Medium,4
2026-04,High,10
2026-04,Low,6
2026-04,Medium,1
2026-05,High,12
2026-05,Low,2
2026-05,Medium,1
2026-06,High,13
2026-06,Low,1
2026-06,Medium,2
2026-07,High,12
2026-07,Low,1
2026-08,High,2
2026-08,Low,1
2026-08,Medium,1
