category,product_name,total_revenue,rank_in_category
Books,Comics Summer,68213.51,1
Books,Science Book Word,65075.09,2
Books,Novel Push,50144.15,3
Books,Biography Few,47535.09,4
Books,Novel Happen,47283.89,5
Books,Science Book Operation,40495.81,6
Books,Comics Miss,40321.95,7
Books,Novel Score,39419.51,8
Books,Novel Continue,38559.49,9
Books,Dictionary To,37913.95,10
Books,Novel Along,37770.47,11
Books,Novel Responsibility,37033.14,12
Books,Biography Evening,36685.88,13
Books,Comics Peace,35591.81,14
Books,Comics Paper,35224.91,15
Books,Dictionary Who,34035.57,16
Books,Comics Drug,32371.81,17
Books,Dictionary Level,31656.81,18
Books,Dictionary Step,31285.3,19
Books,Novel Each,31029.86,20
Books,Dictionary Science,30188.2,21
Books,Comics Head,29887.37,22
Books,Comics Grow,29525.52,23
Books,Dictionary Young,28385.62,24
Books,Science Book Leg,27303.38,25
Books,Dictionary Art,27075.09,26
Books,Novel Huge,26686.03,27
Books,Comics Operation,26332.92,28
Books,Comics Mrs,26073.51,29
Books,Novel Note,25641.36,30
Books,Biography National,24712.35,31
Books,Biography Author,24521.02,32
Books,Comics Meet,24483.86,33
Books,Biography Staff,24291.09,34
Books,Novel Also,21589.43,35
Books,Dictionary Discussion,21509.48,36
Books,Science Book Often,20629.44,37
Books,Dictionary Seek,20438.09,38
Books,Novel Since,19462.15,39
Books,Novel Every,18585.79,40
Books,Comics Say,18509.78,41
Books,Novel Such,18481.53,42
Books,Biography Factor,18120.9,43
Books,Comics Deep,17794.35,44
Books,Dictionary Tax,17458.2,45
Books,Novel Administration,17448.87,46
Books,Biography Speech,16841.59,47
Books,Novel Fact,16692.42,48
Books,Biography Student,16660.9,49
Books,Science Book Paper,16592.21,50
Books,Dictionary Name,16208.54,51
Books,Novel Above,16180.83,52
Books,Dictionary Reality,15412.65,53
Books,Dictionary Watch,14884.22,54
Books,Dictionary Sometimes,14739.64,55
Books,Biography Even,14450.14,56
Books,Biography Police,14275.69,57
Books,Biography Positive,14012.31,58
Books,Novel Your,13766.56,59
Books,Dictionary Most,13686.39,60
Books,Dictionary Authority,13294.74,61
Books,Comics She,12818.82,62
Books,Novel Ten,12744.4,63
Books,Biography Into,12686.26,64
Books,Comics National,12679.65,65
Books,Comics Picture,12571.13,66
Books,Science Book Look,12339.84,67
Books,Comics Continue,12320.17,68
Books,Novel Place,11833.38,69
Books,Comics Either,11823.51,70
Books,Biography Investment,11118.7,71
Books,Comics Training,10905.61,72
Books,Science Book Pass,10875.0,73
Books,Comics Instead,10705.33,74
Books,Biography But,10582.11,75
Books,Comics Ahead,10567.97,76
Books,Science Book Must,10367.03,77
Books,Novel Enough,10156.6,78
Books,Novel Idea,9891.91,79
Books,Dictionary Baby,9752.69,80
Books,Science Book Coach,7964.77,81
Books,Comics Relationship,7825.64,82
Books,Dictionary Day,7703.78,83
Books,Dictionary Represent,7502.25,84
Books,Novel Under,7229.79,85
Books,Comics Property,6162.4,86
Books,Comics Team,5872.82,87
Books,Comics Near,5706.37,88
Books,Novel Action,5502.68,89
Books,Biography But,5281.67,90
Books,Science Book A,4584.75,91
Books,Dictionary Possible,4582.92,92
Books,Biography Story,4371.6,93
Books,Comics Wonder,3994.87,94
Books,Novel Realize,3879.29,95
Books,Novel Edge,3680.19,96
Books,Dictionary Day,3322.01,97
Books,Science Book Hand,3151.34,98
Books,Novel Condition,2988.71,99
Books,Science Book Member,1970.18,100
Books,Dictionary Order,1607.2,101
Books,Novel Defense,1111.41,102
Books,Science Book Financial,1097.08,103
Books,Novel Magazine,531.43,104
Books,Biography Rule,-290.38,105
Clothing,Shoes Federal,61210.91,1
Clothing,Jacket Cost,55278.57,2
Clothing,Shirt Resource,51458.78,3
Clothing,Jeans Character,48248.75,4
Clothing,T-Shirt Speak,47606.72,5
Clothing,Jacket Suffer,47569.19,6
Clothing,Shoes Center,46473.11,7
Clothing,Shirt Their,45661.48,8
Clothing,Shoes Study,44163.5,9
Clothing,Jacket Win,41737.34,10
Clothing,Jacket Organization,39768.84,11
Clothing,T-Shirt Big,34379.71,12
Clothing,Shoes Meet,34348.15,13
Clothing,Jeans Couple,34216.91,14
Clothing,T-Shirt Return,33931.06,15
Clothing,Shoes Arrive,33680.14,16
Clothing,Jacket Drop,32008.42,17
Clothing,Shoes Human,31931.15,18
Clothing,Shoes Citizen,29363.76,19
Clothing,Jeans Better,29143.22,20
Clothing,Jeans Admit,27572.74,21
Clothing,Shirt Person,27481.66,22
Clothing,Jacket Stage,27146.98,23
Clothing,Jeans Pass,27008.51,24
Clothing,T-Shirt Music,26939.44,25
Clothing,Shoes Watch,25746.14,26
Clothing,Shoes Image,25678.25,27
Clothing,T-Shirt Court,25274.88,28
Clothing,Shoes American,22033.27,29
Clothing,Shirt Step,20956.4,30
Clothing,Shirt List,20468.66,31
Clothing,Shoes Shake,20163.83,32
Clothing,T-Shirt Market,19995.22,33
Clothing,Shoes Policy,19736.57,34
Clothing,Shirt Unit,19710.0,35
Clothing,Jacket Nation,19098.49,36
Clothing,Jacket Into,18820.77,37
Clothing,Jacket Your,18651.7,38
Clothing,Shirt Choice,17789.89,39
Clothing,Jacket Animal,17687.49,40
Clothing,T-Shirt Receive,17365.76,41
Clothing,Shirt Lawyer,16868.8,42
Clothing,Jeans Page,16751.32,43
Clothing,Shoes College,16719.55,44
Clothing,Jeans Price,16594.6,45
Clothing,T-Shirt Plan,16465.37,46
Clothing,Jacket Mother,16320.13,47
Clothing,Jacket Case,16312.97,48
Clothing,Shirt Age,16146.19,49
Clothing,Shirt Writer,15839.14,50
Clothing,Shirt Discuss,15257.06,51
Clothing,Shoes Writer,14498.98,52
Clothing,T-Shirt Item,14379.03,53
Clothing,Shoes Pick,14109.0,54
