region_code,order_date,daily_revenue,running_total
EAST,2024-08-04,383.5,383.5
EAST,2024-08-12,13928.83,14312.33
EAST,2024-08-21,39732.97,54045.3
EAST,2024-08-28,15607.25,69652.55
EAST,2024-08-31,5842.57,75495.12
EAST,2024-09-09,6147.58,81642.7
EAST,2024-09-14,10277.26,91919.96
EAST,2024-09-17,16627.92,108547.88
EAST,2024-09-19,6505.52,115053.4
EAST,2024-10-01,32809.1,147862.5
EAST,2024-10-16,43436.06,191298.56
EAST,2024-10-23,23940.39,215238.95
EAST,2024-11-04,25234.25,240473.2
EAST,2024-11-06,31839.3,272312.5
EAST,2024-11-17,5431.33,277743.83
EAST,2024-11-18,7052.82,284796.65
EAST,2024-11-21,43594.28,328390.93
EAST,2024-11-25,37365.44,365756.37
EAST,2024-11-26,37402.69,403159.06
EAST,2024-12-04,22081.41,425240.47
EAST,2024-12-11,12285.26,437525.73
EAST,2024-12-22,3435.82,440961.55
EAST,2025-01-07,18843.21,459804.76
EAST,2025-01-13,17706.62,477511.38
EAST,2025-01-16,51795.73,529307.11
EAST,2025-01-20,16725.83,546032.94
EAST,2025-01-25,42233.9,588266.84
EAST,2025-01-26,3803.27,592070.11
EAST,2025-02-05,7578.12,599648.23
EAST,2025-02-12,15138.29,614786.52
EAST,2025-02-16,-1256.72,613529.8
EAST,2025-03-14,11534.82,625064.62
EAST,2025-04-05,4371.6,629436.22
EAST,2025-04-07,23935.4,653371.62
EAST,2025-04-15,3784.29,657155.91
EAST,2025-04-18,22677.06,679832.97
EAST,2025-04-20,17481.5,697314.47
EAST,2025-04-29,7009.37,704323.84
EAST,2025-05-03,19479.53,723803.37
EAST,2025-05-04,20214.31,744017.68
EAST,2025-05-07,13037.99,757055.67
EAST,2025-05-22,4454.52,761510.19
EAST,2025-05-24,23149.83,784660.02
EAST,2025-05-31,29156.1,813816.12
EAST,2025-06-03,21422.1,835238.22
EAST,2025-06-14,7869.2,843107.42
EAST,2025-07-06,38785.9,881893.32
EAST,2025-07-08,30826.51,912719.83
EAST,2025-07-14,45893.57,958613.4
EAST,2025-08-02,6926.35,965539.75
EAST,2025-08-21,35813.68,1001353.43
EAST,2025-08-23,12113.22,1013466.65
EAST,2025-09-01,15819.16,1029285.81
EAST,2025-09-15,5660.14,1034945.95
EAST,2025-09-19,-5952.66,1028993.29
EAST,2025-09-29,37128.8,1066122.09
EAST,2025-10-14,4025.63,1070147.72
EAST,2025-10-31,10400.8,1080548.52
EAST,2025-11-08,50373.84,1130922.36
EAST,2025-11-18,46363.69,1177286.05
EAST,2025-11-21,12818.82,1190104.87
EAST,2025-11-25,844.57,1190949.44
EAST,2025-12-29,26394.51,1217343.95
EAST,2026-01-17,7825.64,1225169.59
EAST,2026-01-22,2572.28,1227741.87
EAST,2026-01-23,10723.62,1238465.49
EAST,2026-01-28,27932.95,1266398.44
EAST,2026-02-07,19246.31,1285644.75
EAST,2026-02-16,15208.1,1300852.85
EAST,2026-02-27,3353.46,1304206.31
EAST,2026-03-06,44757.03,1348963.34
EAST,2026-03-12,10679.89,1359643.23
EAST,2026-03-17,19505.42,1379148.65
EAST,2026-03-19,9495.56,1388644.21
EAST,2026-03-24,2571.79,1391216.0
EAST,2026-03-26,6195.76,1397411.76
EAST,2026-03-27,14978.68,1412390.44
EAST,2026-04-03,15436.2,1427826.64
EAST,2026-04-04,17831.66,1445658.3
EAST,2026-04-06,6430.6,1452088.9
EAST,2026-04-08,34176.35,1486265.25
EAST,2026-04-10,30465.42,1516730.67
EAST,2026-04-26,-3991.53,1512739.14
EAST,2026-04-29,-17817.06,1494922.08
EAST,2026-05-11,33619.78,1528541.86
EAST,2026-05-16,40017.66,1568559.52
EAST,2026-06-05,9795.99,1578355.51
EAST,2026-06-15,21065.21,1599420.72
EAST,2026-06-22,24791.59,1624212.31
EAST,2026-07-05,15828.08,1640040.39
EAST,2026-07-07,19331.01,1659371.4
EAST,2026-07-22,3137.98,1662509.38
EAST,2026-07-30,19521.55,1682030.93
EAST,2026-08-02,4546.11,1686577.04
EAST,2026-08-03,9664.28,1696241.32
NORTH,2024-08-23,44124.13,44124.13
NORTH,2024-09-03,40272.08,84396.21
NORTH,2024-09-17,15603.73,99999.94
NORTH,2024-09-24,58449.35,158449.29
NORTH,2024-09-25,7902.96,166352.25
NORTH,2024-09-30,18371.48,184723.73
NORTH,2024-10-08,21654.43,206378.16
NORTH,2024-10-20,28836.33,235214.49
NORTH,2024-10-21,31300.95,266515.44
NORTH,2024-11-07,63965.21,330480.65
NORTH,2024-11-27,30293.4,360774.05
NORTH,2024-12-04,42397.64,403171.69
NORTH,2024-12-08,12082.29,415253.98
NORTH,2024-12-17,19990.86,435244.84
NORTH,2025-01-17,3315.68,438560.52
NORTH,2025-01-18,25058.24,463618.76
NORTH,2025-01-21,26870.35,490489.11
NORTH,2025-02-01,5672.22,496161.33
NORTH,2025-02-12,10082.78,506244.11
NORTH,2025-02-14,12763.85,519007.96
NORTH,2025-02-21,5239.19,524247.15
NORTH,2025-03-01,18139.28,542386.43
NORTH,2025-03-14,14432.46,556818.89
NORTH,2025-03-20,1970.18,558789.07
NORTH,2025-03-27,15780.59,574569.66
NORTH,2025-03-28,844.19,575413.85
NORTH,2025-04-14,2419.12,577832.97
NORTH,2025-04-22,24769.47,602602.44
NORTH,2025-04-24,4438.61,607041.05
NORTH,2025-04-28,29368.27,636409.32
NORTH,2025-04-29,46983.87,683393.19
NORTH,2025-05-08,15413.62,698806.81
NORTH,2025-05-09,15274.58,714081.39
NORTH,2025-05-14,45716.38,759797.77
NORTH,2025-05-21,10864.83,770662.6
NORTH,2025-06-02,3490.12,774152.72
NORTH,2025-06-20,7952.81,782105.53
NORTH,2025-06-28,14835.08,796940.61
NORTH,2025-07-05,11406.29,808346.9
NORTH,2025-07-12,782.0,809128.9
NORTH,2025-07-13,22151.33,831280.23
NORTH,2025-07-17,18673.77,849954.0
NORTH,2025-07-19,9575.59,859529.59
NORTH,2025-07-26,4252.03,863781.62
NORTH,2025-07-29,3320.08,867101.7
NORTH,2025-08-03,7154.88,874256.58
NORTH,2025-08-06,14212.51,888469.09
