year,month,revenue,prev_year_revenue,yoy_growth_percent
2024,08,382497.56,,
2024,09,359069.31,,
2024,10,340892.79,,
2024,11,376858.06,,
2024,12,520827.71,,
2025,01,383252.71,,
2025,02,345008.64,,
2025,03,250765.76,,
2025,04,318561.67,,
2025,05,271321.31,,
2025,06,188760.69,,
2025,07,360553.79,,
2025,08,233237.76,382497.56,-39.02
2025,09,386371.3,359069.31,7.6
2025,10,251738.54,340892.79,-26.15
2025,11,535462.2,376858.06,42.09
2025,12,361647.01,520827.71,-30.56
2026,01,198608.47,383252.71,-48.18
2026,02,215075.8,345008.64,-37.66
2026,03,340885.64,250765.76,35.94
2026,04,265762.2,318561.67,-16.57
2026,05,291005.17,271321.31,7.25
2026,06,402459.11,188760.69,113.21
2026,07,285759.88,360553.79,-20.74
2026,08,56513.31,233237.76,-75.77
